paper_id,query_seed,title,year,venue,author0,doi,url,score,problem_claimed,mechanism,hidden_assumptions,fixed_variables,ignored_failures,less_novel,open_questions
210,robot control learning,Deep Reinforcement Learning Control of a Hexapod Robot,2026,Actuators,Taesoo Kim,10.3390/act15010033,https://doi.org/10.3390/act15010033,6,,,,,,,
211,robot 3D perception,Enhancing robot perception using human teammates,2026,International Joint Conference on Autonomous Agents and Multiagent Systems,Jean Oh,10.65109/lktq1416,https://doi.org/10.65109/lktq1416,6,,,,,,,
212,robot tactile perception,Evaluating Tactile Perception of Robot-Controlled HIFU Embossing,2026,Companion Proceedings of the 21st ACM/IEEE International Conference on Human-Robot Interaction,Ayaka Tsutsui,10.1145/3776734.3794457,https://doi.org/10.1145/3776734.3794457,6,,,,,,,
213,robot foundation model manipulation,IRASim: A Fine-Grained World Model for Robot Manipulation,2026,2025 IEEE/CVF International Conference on Computer Vision (ICCV),Fangqi Zhu,10.1109/iccv51701.2025.00917,https://doi.org/10.1109/iccv51701.2025.00917,6,,,,,,,
214,sim to real robotics,NeuralTouch: Neural Descriptors for Precise Sim-to-Real Tactile Robot Control,2026,IEEE/ASME Transactions on Mechatronics,Yijiong Lin,10.1109/tmech.2026.3687919,https://doi.org/10.1109/tmech.2026.3687919,6,,,,,,,
215,robot foundation model manipulation,Physics-informed embodied intelligence in the foundation model era: Advancing robot manipulation for smart manufacturing,2026,Advanced Engineering Informatics,Shufei Li,10.1016/j.aei.2026.104370,https://doi.org/10.1016/j.aei.2026.104370,6,,,,,,,
216,robot manipulation learning,Two-Stage Video-Based Policy Learning for Robot Manipulation,2026,2026 11th International Conference on Intelligent Computing and Signal Processing (ICSP),Yanzhe Cen,10.1109/icsp69961.2026.11540706,https://doi.org/10.1109/icsp69961.2026.11540706,6,,,,,,,
217,robot control learning,A lifelong learning perspective for mobile robot control,2002,Proceedings of IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS'94),S. Thrun,10.1109/iros.1994.407413,https://doi.org/10.1109/iros.1994.407413,5,,,,,,,
218,robot dynamics learning,A new learning control of robot manipulators in the presence of actuator dynamics,2002,Proceedings of 1995 IEEE International Conference on Robotics and Automation,C. Ham,10.1109/robot.1995.525578,https://doi.org/10.1109/robot.1995.525578,5,,,,,,,
219,robot tactile perception,A robotic tactile perception system concept,2002,7th IEEE Conference on Instrumentation and Measurement Technology,E.M. Petriu,10.1109/imtc.1990.65982,https://doi.org/10.1109/imtc.1990.65982,5,,,,,,,
220,robot control learning,Adaptive learning control for robot manipulators,2002,Proceedings of the 2001 American Control Conference. (Cat. No.01CH37148),D. Del Vecchio,10.1109/acc.2001.945619,https://doi.org/10.1109/acc.2001.945619,5,,,,,,,
221,robot control learning,An adaptive PID learning control of robot manipulators,2002,Automatica,Tae-Yong Kuc,10.1016/s0005-1098(99)00198-3,https://doi.org/10.1016/s0005-1098(99)00198-3,5,,,,,,,
222,robot control learning,An approach to enlarge learning space coverage for robot learning control,2002,IEEE Transactions on Fuzzy Systems,Kuu-Young Young,10.1109/91.649902,https://doi.org/10.1109/91.649902,5,,,,,,,
223,robot tactile perception,An approach to integrated tactile perception,2002,Proceedings of International Conference on Robotics and Automation,D. Taddeucci,10.1109/robot.1997.606759,https://doi.org/10.1109/robot.1997.606759,5,,,,,,,
224,robot planning learning,An evolutionary method for active learning of mobile robot path planning,2002,Proceedings 1997 IEEE International Symposium on Computational Intelligence in Robotics and Automation CIRA'97. 'Towards New Computational Principles for Robotics and Automation',Byoung-Tak Zhang,10.1109/cira.1997.613874,https://doi.org/10.1109/cira.1997.613874,5,,,,,,,
225,robot control learning,An intelligent learning control strategy on robot,2002,Proceedings of 1994 IEEE International Conference on Industrial Technology - ICIT '94,Wei Wei,10.1109/icit.1994.467137,https://doi.org/10.1109/icit.1994.467137,5,,,,,,,
226,robot control learning,An iterative learning control of robot manipulators,2002,IEEE Transactions on Robotics and Automation,Tae-Yong Kuc,10.1109/70.105392,https://doi.org/10.1109/70.105392,5,,,,,,,
227,robot control learning,Application of reinforcement learning to dexterous robot control,2002,Proceedings of the 1998 American Control Conference. ACC (IEEE Cat. No.98CH36207),I.O. Bucak,10.1109/acc.1998.707055,https://doi.org/10.1109/acc.1998.707055,5,,,,,,,
228,robot dynamics learning,Computer simulation of robot dynamics,2002,Robotica,M. Eroglu,10.1017/s0263574798000617,https://doi.org/10.1017/s0263574798000617,5,,,,,,,
229,robot control learning,EMOTION-TRIGGERED LEARNING IN AUTONOMOUS ROBOT CONTROL,2002,Cybernetics and Systems,Sandra Clara Gadanho,10.1080/019697201750257766,https://doi.org/10.1080/019697201750257766,5,,,,,,,
230,robot control learning,Fuzzy learning control for a flexible-link robot,2002,IEEE Transactions on Fuzzy Systems,V.G. Moudgal,10.1109/91.388164,https://doi.org/10.1109/91.388164,5,,,,,,,
231,robot dynamics learning,Highly efficient robot dynamics learning by decomposed connectionist feedforward control structure,2002,"IEEE Transactions on Systems, Man, and Cybernetics",D.M. Katic,10.1109/21.362958,https://doi.org/10.1109/21.362958,5,,,,,,,
232,robot control learning,Incremental learning for robot control,2002,"1995 IEEE International Conference on Systems, Man and Cybernetics. Intelligent Systems for the 21st Century",I-Jen Chiang,10.1109/icsmc.1995.538473,https://doi.org/10.1109/icsmc.1995.538473,5,,,,,,,
233,robot control learning,Incremental supervised learning for mobile robot reactive control,2002,Robotics and Autonomous Systems,Patrick Reignier,10.1016/s0921-8890(96)00054-1,https://doi.org/10.1016/s0921-8890(96)00054-1,5,,,,,,,
234,robot planning learning,Integration of topological and geometrical planning in a learning mobile robot,2002,Proceedings of IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS'94),F. Wallner,10.1109/iros.1994.407416,https://doi.org/10.1109/iros.1994.407416,5,,,,,,,
235,robot 3D perception,Landmark perception planning for mobile robot localization,2002,Proceedings. 1998 IEEE International Conference on Robotics and Automation (Cat. No.98CH36146),J.M. Armingol,10.1109/robot.1998.680967,https://doi.org/10.1109/robot.1998.680967,5,,,,,,,
236,robot manipulation learning,Learning Dextrous Manipulation Skills for Multifingered Robot Hands Using the Evolution Strategy,2002,Machine Learning,Olac Fuentes,10.1023/a:1007409228154,https://doi.org/10.1023/a:1007409228154,5,,,,,,,
237,robot manipulation learning,Learning Dextrous Manipulation Skills for Multifingered Robot Hands Using the Evolution Strategy,2002,Autonomous Robots,Olac Fuentes,10.1023/a:1008822709073,https://doi.org/10.1023/a:1008822709073,5,,,,,,,
238,robot control learning,Learning control for geometrically constrained robot manipulators,2002,Proceedings of 1993 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS '93),T. Naniwa,10.1109/iros.1993.583152,https://doi.org/10.1109/iros.1993.583152,5,,,,,,,
239,robot control learning,Learning control for robot tasks under geometric constraints,2002,Proceedings of the 1994 IEEE International Conference on Robotics and Automation,T. Naniwa,10.1109/robot.1994.350895,https://doi.org/10.1109/robot.1994.350895,5,,,,,,,
240,robot control learning,Learning control for robot tasks under geometric endpoint constraints,2002,IEEE Transactions on Robotics and Automation,T. Naniwa,10.1109/70.388787,https://doi.org/10.1109/70.388787,5,,,,,,,
241,robot control learning,Learning control for similar robot motions,2002,Proceedings of 1995 IEEE International Conference on Robotics and Automation,Kuu-Young Young,10.1109/robot.1995.525581,https://doi.org/10.1109/robot.1995.525581,5,,,,,,,
242,robot control learning,Learning control of constrained robot motion,2002,Proceedings of IEEE Systems Man and Cybernetics Conference - SMC,Tae-Yong Kuc,10.1109/icsmc.1993.390736,https://doi.org/10.1109/icsmc.1993.390736,5,,,,,,,
243,robot control learning,Learning from history for adaptive mobile robot control,2002,"Proceedings. 1998 IEEE/RSJ International Conference on Intelligent Robots and Systems. Innovations in Theory, Practice and Applications (Cat. No.98CH36190)",F. Michaud,10.1109/iros.1998.724868,https://doi.org/10.1109/iros.1998.724868,5,,,,,,,
244,robot planning learning,Learning situation-dependent costs: Improving planning from probabilistic robot execution,2002,Robotics and Autonomous Systems,Karen Zita Haigh,10.1016/s0921-8890(99)00049-4,https://doi.org/10.1016/s0921-8890(99)00049-4,5,,,,,,,
245,robot 3D perception,Local perception maps for autonomous robot navigation,2002,Proceedings of IEEE/RSJ International Conference on Intelligent Robots and Systems. IROS '96,V. Santos,10.1109/iros.1996.571058,https://doi.org/10.1109/iros.1996.571058,5,,,,,,,
246,robot manipulation learning,Object classification for robot manipulation tasks based on learning of ultrasonic echoes,2002,Proceedings of IEEE/RSJ International Conference on Intelligent Robots and Systems. IROS '96,S. Caselli,10.1109/iros.1996.570686,https://doi.org/10.1109/iros.1996.570686,5,,,,,,,
247,robot planning learning,On Intelligent Robot Motion Planning via Learning,2002,Journal of Intelligent and Robotic Systems,Pang Chen,10.1023/a:1007981604566,https://doi.org/10.1023/a:1007981604566,5,,,,,,,
248,robot planning learning,Path planning-by-learning with a Nomad 200 mobile robot,2002,ISIE '97 Proceeding of the IEEE International Symposium on Industrial Electronics,R. Araujo,10.1109/isie.1997.648638,https://doi.org/10.1109/isie.1997.648638,5,,,,,,,
249,robot control learning,Robot Control Optimization Using Reinforcement Learning,2002,Journal of Intelligent and Robotic Systems,Kai-Tai Song,10.1023/a:1007904418265,https://doi.org/10.1023/a:1007904418265,5,,,,,,,
250,robot planning learning,Robot action planning via explanation-based learning,2002,"IEEE Transactions on Systems, Man, and Cybernetics - Part A: Systems and Humans",H. Tianfield,10.1109/3468.833104,https://doi.org/10.1109/3468.833104,5,,,,,,,
251,robot planning learning,Robot planning and control,2002,Robotics and Autonomous Systems,Oussama Khatib,10.1016/s0921-8890(96)00078-4,https://doi.org/10.1016/s0921-8890(96)00078-4,5,,,,,,,
252,robot control learning,"Robot skill learning, basis functions, and control regimes",2002,[1993] Proceedings IEEE International Conference on Robotics and Automation,J.G. Schneider,10.1109/robot.1993.292014,https://doi.org/10.1109/robot.1993.292014,5,,,,,,,
253,robot control learning,Robot visual servoing with iterative learning control,2002,"IEEE Transactions on Systems, Man, and Cybernetics - Part A: Systems and Humans",P. Jiang,10.1109/tsmca.2002.1021116,https://doi.org/10.1109/tsmca.2002.1021116,5,,,,,,,
254,robot control learning,Robustness of learning control for robot manipulators,2002,"Proceedings., IEEE International Conference on Robotics and Automation",S. Arimoto,10.1109/robot.1990.126224,https://doi.org/10.1109/robot.1990.126224,5,,,,,,,
255,robot control learning,Self-learning neural control of a mobile robot,2002,Proceedings of ICNN'95 - International Conference on Neural Networks,B. Janusz,10.1109/icnn.1995.487730,https://doi.org/10.1109/icnn.1995.487730,5,,,,,,,
256,robot representation learning,Self-organizing Internal Representation in Learning of Navigation: A Physical Experiment by the Mobile Robot YAMABICO,2002,Neural Networks,Jun Tani,10.1016/s0893-6080(96)00066-4,https://doi.org/10.1016/s0893-6080(96)00066-4,5,,,,,,,
257,robot dynamics learning,Self-organizing neural networks for learning inverse dynamics of robot manipulator,2002,Proceedings of IEEE/IAS International Conference on Industrial Automation and Control,L. Behera,10.1109/iacc.1995.465797,https://doi.org/10.1109/iacc.1995.465797,5,,,,,,,
258,robot control learning,076 Model reference learning control for robot manipulators,2003,Control Engineering Practice,,10.1016/0967-0661(94)90428-6,https://doi.org/10.1016/0967-0661(94)90428-6,5,,,,,,,
259,robot control learning,An approach to simplify the learning space for robot learning control,2003,Fuzzy Sets and Systems,Kuu-young Young,10.1016/s0165-0114(96)00300-4,https://doi.org/10.1016/s0165-0114(96)00300-4,5,,,,,,,
260,robot control learning,CMAC based iterative learning control of robot manipulators,2003,Proceedings of the 28th IEEE Conference on Decision and Control,Tae-Young Kuc,10.1109/cdc.1989.70652,https://doi.org/10.1109/cdc.1989.70652,5,,,,,,,
261,robot control learning,Decentralized learning control for robot manipulators,2003,Proceedings 1999 IEEE International Conference on Robotics and Automation (Cat. No.99CH36288C),Weiqing Huang,10.1109/robot.1999.772395,https://doi.org/10.1109/robot.1999.772395,5,,,,,,,
262,robot foundation model manipulation,Development of microvision system for manipulation robot,2003,SPIE Proceedings,Lining Sun,10.1117/12.483161,https://doi.org/10.1117/12.483161,5,,,,,,,
263,robot control learning,EMOTION-TRIGGERED LEARNING IN AUTONOMOUS ROBOT CONTROL,2003,Cybernetics and Systems,"Sandra Clara Gadanho, John Hallam",10.1080/01969720119689,https://doi.org/10.1080/01969720119689,5,,,,,,,
264,robot dynamics learning,Experiments in robot learning,2003,Proceedings. IEEE International Symposium on Intelligent Control 1989,E. Grant,10.1109/isic.1989.238642,https://doi.org/10.1109/isic.1989.238642,5,,,,,,,
265,robot world model,Global path planning for mobile robot with grid-type world model,2003,Robotics and Computer-Integrated Manufacturing,Jang Gyu Lee,10.1016/0736-5845(94)90003-5,https://doi.org/10.1016/0736-5845(94)90003-5,5,,,,,,,
266,robot control learning,Learning control for robot tasks under geometric endpoint constraints,2003,Proceedings 1992 IEEE International Conference on Robotics and Automation,S. Arimoto,10.1109/robot.1992.219949,https://doi.org/10.1109/robot.1992.219949,5,,,,,,,
267,robot control learning,Learning control of robot manipulators,2003,Expert Systems with Applications,M. Jamshidi,10.1016/0957-4174(92)90065-z,https://doi.org/10.1016/0957-4174(92)90065-z,5,,,,,,,
268,robot control learning,Learning expert systems for robot fine motion control,2003,Proceedings IEEE International Symposium on Intelligent Control 1988,S. Lee,10.1109/isic.1988.65488,https://doi.org/10.1109/isic.1988.65488,5,,,,,,,
269,robot planning learning,Motion Planning of a Mobile Robot Using Reinforcement Learning,2003,Transactions of the Japanese Society for Artificial Intelligence,Harukazu Igarashi,10.1527/tjsai.16.501,https://doi.org/10.1527/tjsai.16.501,5,,,,,,,
270,robot tactile perception,Neutral networks for tactile perception,2003,Proceedings. 1988 IEEE International Conference on Robotics and Automation,Y.C. Pati,10.1109/robot.1988.12037,https://doi.org/10.1109/robot.1988.12037,5,,,,,,,
271,robot control learning,On the learning control of a robot manipulator,2003,Proceedings of the 28th IEEE Conference on Decision and Control,D.M. Dawson,10.1109/cdc.1989.70656,https://doi.org/10.1109/cdc.1989.70656,5,,,,,,,
272,robot tactile perception,Robotic tactile perception,2003,IMTC/99. Proceedings of the 16th IEEE Instrumentation and Measurement Technology Conference (Cat. No.99CH36309),E.M. Petriu,10.1109/imtc.1999.777058,https://doi.org/10.1109/imtc.1999.777058,5,,,,,,,
273,robot foundation model manipulation,Space maps manipulation for robot motion planning,2003,Computers &amp; Industrial Engineering,Han P. Bao,10.1016/0360-8352(90)90034-j,https://doi.org/10.1016/0360-8352(90)90034-j,5,,,,,,,
274,robot tactile perception,Tactile sensing in fine motion robot tasks,2003,Proceedings of the 1992 IEEE International Symposium on Intelligent Control,C. Klomp,10.1109/isic.1992.225068,https://doi.org/10.1109/isic.1992.225068,5,,,,,,,
275,robot control learning,Adaptive iterative learning control for robot manipulators,2004,Automatica,Abdelhamid Tayebi,10.1016/j.automatica.2004.01.026,https://doi.org/10.1016/j.automatica.2004.01.026,5,,,,,,,
276,robot control learning,Adaptive iterative learning control for robot manipulators,2004,"Proceedings of the 2003 American Control Conference, 2003.",A. Tayebi,10.1109/acc.2003.1240553,https://doi.org/10.1109/acc.2003.1240553,5,,,,,,,
277,robot control learning,Adaptive iterative learning control for robot manipulators*1,2004,Automatica,A TAYEBI,10.1016/s0005-1098(04)00059-7,https://doi.org/10.1016/s0005-1098(04)00059-7,5,,,,,,,
278,robot foundation model manipulation,Manipulation of a humanoid robot by teleoperation,2004,Fifth World Congress on Intelligent Control and Automation (IEEE Cat. No.04EX788),Qiusheng Liu,10.1109/wcica.2004.1343642,https://doi.org/10.1109/wcica.2004.1343642,5,,,,,,,
279,robot control learning,On the learning control of a robot manipulator,2004,Journal of Intelligent &amp; Robotic Systems,D. M. Dawson,10.1007/bf00452101,https://doi.org/10.1007/bf00452101,5,,,,,,,
280,robot planning learning,Sensor planning and Bayesian network structure learning for mobile robot localization,2004,"IEEE International Conference on Robotics, Intelligent Systems and Signal Processing, 2003. Proceedings. 2003",H. Zliou,10.1109/rissp.2003.1285626,https://doi.org/10.1109/rissp.2003.1285626,5,,,,,,,
281,robot world model,Sensory interactive robot trajectory control using a real-time world model,2004,Journal of Intelligent &amp; Robotic Systems,L. Kelmar,10.1007/bf00357129,https://doi.org/10.1007/bf00357129,5,,,,,,,
282,robot world model,&lt;title&gt;World model and its uncertainty in supervisory robot control&lt;/title&gt;,2005,SPIE Proceedings,Jong H. Park,10.1117/12.56765,https://doi.org/10.1117/12.56765,5,,,,,,,
283,robot control learning,Adaptive iterative learning control for robot manipulators: Experimental results,2005,Control Engineering Practice,A. Tayebi,10.1016/j.conengprac.2005.04.013,https://doi.org/10.1016/j.conengprac.2005.04.013,5,,,,,,,
284,robot control learning,Adaptive learning control of robot manipulators in task space,2005,Proceedings of 1994 American Control Conference - ACC '94,Y.A. Jiang,10.1109/acc.1994.751725,https://doi.org/10.1109/acc.1994.751725,5,,,,,,,
285,robot control learning,Fuzzy learning control for a flexible-link robot,2005,Proceedings of 1994 American Control Conference - ACC '94,V.G. Moudgal,10.1109/acc.1994.751801,https://doi.org/10.1109/acc.1994.751801,5,,,,,,,
286,robot control learning,Global Learning Control for Robot Manipulators,2005,Proceedings of the IEEE International Workshop on Intelligent Motion Control,E. Lunde,10.1109/imc.1990.687309,https://doi.org/10.1109/imc.1990.687309,5,,,,,,,
287,robot tactile perception,Human tactile perception as a standard for artificial tactile sensing—a review,2005,The International Journal of Medical Robotics and Computer Assisted Surgery,J Dargahi,10.1002/rcs.3,https://doi.org/10.1002/rcs.3,5,,,,,,,
288,robot control learning,Human-computer cooperative mobile robot control with learning functions,2005,2004 IEEE Region 10 Conference TENCON 2004.,A. Tayaoka,10.1109/tencon.2004.1414984,https://doi.org/10.1109/tencon.2004.1414984,5,,,,,,,
289,robot control learning,Humanoid robot control based on reinforcement learning,2005,"Micro-Nanomechatronics and Human Science, 2004 and The Fourth Symposium Micro-Nanomechatronics for Information-Based Society, 2004.",S. Iida,10.1109/mhs.2004.1421274,https://doi.org/10.1109/mhs.2004.1421274,5,,,,,,,
290,robot control learning,Learning Computed Torque Control Using Virtual Robot Manipulator Concept,2005,"IEEE International Workshop on Emerging Technologies and Factory Automation,",I.J. Rudas,10.1109/etfa.1992.683314,https://doi.org/10.1109/etfa.1992.683314,5,,,,,,,
291,robot control learning,Learning control of robot manipulators by interactive simulation,2005,Robotica,Rafael Kelly,10.1017/s0263574704001031,https://doi.org/10.1017/s0263574704001031,5,,,,,,,
292,robot world model,Path Planning For A Mobile Robot With Grid Type World Model,2005,Proceedings of the IEEE/RSJ International Conference on Intelligent Robots and Systems,Hakyoung Chung,10.1109/iros.1992.587373,https://doi.org/10.1109/iros.1992.587373,5,,,,,,,
293,robot tactile perception,"Primitives, features, and exploratory procedures: Building a robot tactile perception system",2005,Proceedings. 1986 IEEE International Conference on Robotics and Automation,S. Stansfield,10.1109/robot.1986.1087541,https://doi.org/10.1109/robot.1986.1087541,5,,,,,,,
294,robot control learning,Progressive learning for robot impedance control,2005,Proceedings of 1994 American Control Conference - ACC '94,Boo-Ho Yang,10.1109/acc.1994.752459,https://doi.org/10.1109/acc.1994.752459,5,,,,,,,
295,robot planning learning,Robot Path Planning,2005,Wiley Encyclopedia of Electrical and Electronics Engineering,Alex Meystel,10.1002/047134608x.w6507,https://doi.org/10.1002/047134608x.w6507,5,,,,,,,
296,robot control learning,Self-organisation and self-learning robot control,2005,IEE Colloquium on Self Learning Robots,U. Nehmzow,10.1049/ic:19960149,https://doi.org/10.1049/ic:19960149,5,,,,,,,
297,robot manipulation learning,Statistical manipulation learning of unknown objects by a multi-fingered robot hand,2005,"4th IEEE/RAS International Conference on Humanoid Robots, 2004.",R. Fukano,10.1109/ichr.2004.1442681,https://doi.org/10.1109/ichr.2004.1442681,5,,,,,,,
298,robot control learning,Cooperative and learning control for complex robot systems,2006,Lecture Notes in Control and Information Sciences,Fumio Miyazaki,10.1007/bfb0042514,https://doi.org/10.1007/bfb0042514,5,,,,,,,
299,robot control learning,Experiments in learning distributed control for a hexapod robot,2006,Robotics and Autonomous Systems,T.D. Barfoot,10.1016/j.robot.2006.04.009,https://doi.org/10.1016/j.robot.2006.04.009,5,,,,,,,
300,robot world model,Interactive Learning of World Model Information for a Service Robot,2006,Lecture Notes in Computer Science,Steen Kristensen,10.1007/10705474_4,https://doi.org/10.1007/10705474_4,5,,,,,,,
301,robot planning learning,Learning Sensor Based Mobile Robot Simultaneous Path Planning and Map Building,2006,2005 International Conference on Natural Language Processing and Knowledge Engineering,Maohai Li,10.1109/nlpke.2005.1598846,https://doi.org/10.1109/nlpke.2005.1598846,5,,,,,,,
302,robot control learning,Learning control of pipe cutting robot with magnetic binder,2006,SPIE Proceedings,Sungsoo Rhim,10.1117/12.664770,https://doi.org/10.1117/12.664770,5,,,,,,,
303,robot dynamics learning,Passivity of robot dynamics implies capability of motor program learning,2006,Lecture Notes in Control and Information Sciences,Suguru Arimoto,10.1007/bfb0039265,https://doi.org/10.1007/bfb0039265,5,,,,,,,
304,robot planning learning,Path planning of a mobile robot by optimization and reinforcement learning,2006,Artificial Life and Robotics,Harukazu Igarashi,10.1007/bf02481210,https://doi.org/10.1007/bf02481210,5,,,,,,,
305,robot manipulation learning,Reinforcement Learning for Manipulation Using Constraint between Object and Robot,2006,"2005 IEEE International Conference on Systems, Man and Cybernetics",Y. Kobayashi,10.1109/icsmc.2005.1571256,https://doi.org/10.1109/icsmc.2005.1571256,5,,,,,,,
306,robot control learning,Reinforcement Learning for Platform-Independent Visual Robot Control,2006,The 2006 IEEE International Joint Conference on Neural Network Proceedings,D. Muse,10.1109/ijcnn.2006.1716424,https://doi.org/10.1109/ijcnn.2006.1716424,5,,,,,,,
307,robot control learning,A Lifelong Learning Perspective for Mobile Robot Control,2007,Intelligent Robots and Systems,Sebastian Thrun,10.1016/b978-044482250-5/50015-3,https://doi.org/10.1016/b978-044482250-5/50015-3,5,,,,,,,
308,robot planning learning,A Multilevel Learning Approach to Mobile Robot Path Planning,2007,Intelligent Robots and Systems,F. Wallner,10.1016/b978-044482250-5/50016-5,https://doi.org/10.1016/b978-044482250-5/50016-5,5,,,,,,,
309,robot control learning,Biped robot control strategy and open-closed-loop iterative learning control,2007,Frontiers of Electrical and Electronic Engineering in China,Binrui Wang,10.1007/s11460-007-0019-6,https://doi.org/10.1007/s11460-007-0019-6,5,,,,,,,
310,robot control learning,Improving Reinforcement Learning Speed for Robot Control,2007,2006 IEEE/RSJ International Conference on Intelligent Robots and Systems,Laetitia Matignon,10.1109/iros.2006.282341,https://doi.org/10.1109/iros.2006.282341,5,,,,,,,
311,robot dynamics learning,Learning-Based Robot Vision,2007,Lecture Notes in Computer Science,Josef Pauli,10.1007/3-540-45124-2,https://doi.org/10.1007/3-540-45124-2,5,,,,,,,
312,robot control learning,Linear learning control of robot motion,2007,Journal of Robotic Systems,Zhihua Qu,10.1002/rob.4620100107,https://doi.org/10.1002/rob.4620100107,5,,,,,,,
313,robot planning learning,Q-Learning Based Method of Adaptive Path Planning for Mobile Robot,2007,2006 IEEE International Conference on Information Acquisition,Yibin Li,10.1109/icia.2006.305871,https://doi.org/10.1109/icia.2006.305871,5,,,,,,,
314,robot tactile perception,Robot perception learning,2007,ACM SIGART Bulletin,Leonard Friedman,10.1145/1045343.1045372,https://doi.org/10.1145/1045343.1045372,5,,,,,,,
315,robot 3D perception,Terrain perception for robot navigation,2007,SPIE Proceedings,Robert E. Karlsen,10.1117/12.720829,https://doi.org/10.1117/12.720829,5,,,,,,,
316,robot 3D perception,Toward Robot Perception through Omnidirectional Vision,2007,Studies in Computational Intelligence,José Gaspar,10.1007/978-3-540-72696-8_9,https://doi.org/10.1007/978-3-540-72696-8_9,5,,,,,,,
317,robot planning learning,Towards Learning Path Planning for Solving Complex Robot Tasks,2007,Lecture Notes in Computer Science,Thomas Frontzek,10.1007/3-540-44668-0_130,https://doi.org/10.1007/3-540-44668-0_130,5,,,,,,,
318,robot dynamics learning,A learning dynamics model for robot,2008,2008 7th World Congress on Intelligent Control and Automation,Nan Luan,10.1109/wcica.2008.4593062,https://doi.org/10.1109/wcica.2008.4593062,5,,,,,,,
319,robot control learning,Balance control of robot with CMAC based Q-learning,2008,2008 Chinese Control and Decision Conference,Ming-ai Li,10.1109/ccdc.2008.4597810,https://doi.org/10.1109/ccdc.2008.4597810,5,,,,,,,
320,robot control learning,Deterministic learning and robot manipulator control,2008,2007 IEEE International Conference on Robotics and Biomimetics (ROBIO),Zhengui Xue,10.1109/robio.2007.4522472,https://doi.org/10.1109/robio.2007.4522472,5,,,,,,,
321,robot control learning,Deterministic learning based compass biped robot control,2008,2008 27th Chinese Control Conference,Xue Zhengui,10.1109/chicc.2008.4605563,https://doi.org/10.1109/chicc.2008.4605563,5,,,,,,,
322,robot planning learning,Evaluation of a robot learning and planning via extreme value theory,2008,2007 10th International Conference on Information Fusion,F. Celeste,10.1109/icif.2007.4408187,https://doi.org/10.1109/icif.2007.4408187,5,,,,,,,
323,robot control learning,Falling avoidance control of acrobat robot by reinforcement learning,2008,SICE Annual Conference 2007,T. Kochiya,10.1109/sice.2007.4421000,https://doi.org/10.1109/sice.2007.4421000,5,,,,,,,
324,robot tactile perception,Human Perception of Pneumatic Tactile Cues,2008,Advanced Robotics,Yeongmi Kim,10.1163/156855308x314524,https://doi.org/10.1163/156855308x314524,5,,,,,,,
325,robot representation learning,LEARNING TO BEHAVE IN SPACE: A QUALITATIVE SPATIAL REPRESENTATION FOR ROBOT NAVIGATION WITH REINFORCEMENT LEARNING,2008,International Journal on Artificial Intelligence Tools,LUTZ FROMMBERGER,10.1142/s021821300800400x,https://doi.org/10.1142/s021821300800400x,5,,,,,,,
326,robot control learning,Learning Control of Robot Manipulators,2008,"Journal of Dynamic Systems, Measurement, and Control",Roberto Horowitz,10.1115/1.2899080,https://doi.org/10.1115/1.2899080,5,,,,,,,
327,robot dynamics learning,Learning Robot Dynamics for Computed Torque Control Using Local Gaussian Processes Regression,2008,2008 ECSIS Symposium on Learning and Adaptive Behaviors for Robotic Systems (LAB-RS),Duy Nguyen-Tuong,10.1109/lab-rs.2008.16,https://doi.org/10.1109/lab-rs.2008.16,5,,,,,,,
328,robot manipulation learning,Learning object-manipulation verbs for human-robot communication,2008,Proceedings of the 2007 workshop on Multimodal interfaces in semantic interaction,Komei Sugiura,10.1145/1330572.1330577,https://doi.org/10.1145/1330572.1330577,5,,,,,,,
329,robot control learning,Learning robot motion control with demonstration and advice-operators,2008,2008 IEEE/RSJ International Conference on Intelligent Robots and Systems,B.D. Argall,10.1109/iros.2008.4651020,https://doi.org/10.1109/iros.2008.4651020,5,,,,,,,
330,robot tactile perception,Optimization of a Pneumatic Balloon Tactile Display for Robot-Assisted Surgery Based on Human Perception,2008,IEEE Transactions on Biomedical Engineering,Chih-Hung King,10.1109/tbme.2008.2001137,https://doi.org/10.1109/tbme.2008.2001137,5,,,,,,,
331,robot control learning,Reinforcement Learning for Platform-Independent Visual Robot Control,2008,The 2006 IEEE International Joint Conference on Neural Network Proceedings,D. Muse,10.1109/ijcnn.2006.247094,https://doi.org/10.1109/ijcnn.2006.247094,5,,,,,,,
332,robot planning learning,Robot Motion Planning,2008,Wiley Encyclopedia of Computer Science and Engineering,Calin Belta,10.1002/9780470050118.ecse318,https://doi.org/10.1002/9780470050118.ecse318,5,,,,,,,
333,robot control learning,Robot motion classification from the standpoint of learning control,2008,FUZZ-IEEE'99. 1999 IEEE International Fuzzy Systems. Conference Proceedings (Cat. No.99CH36315),Shaw-Ji Shiah,10.1109/fuzzy.1999.793027,https://doi.org/10.1109/fuzzy.1999.793027,5,,,,,,,
334,robot control learning,A new nonlinear learning control for robot manipulators,2009,Advanced Robotics,C. Ham,10.1163/156855397x00010,https://doi.org/10.1163/156855397x00010,5,,,,,,,
